;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;LISTA DE PRECIOS VEHÍCULOS NUEVOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Nº 06 - 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1 de junio de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Tope CE;;;2,5%;;;;;;;;;;;;;;;;;;;;;;;;;
;;VEHÍCULOS PASAJEROS;LCDV;CIT;;PRECIO LISTA;;;TODO MEDIO DE PAGO;;;;;CRÉDITO CONVENCIONAL;;;;;;COMPRA INTELIGENTE;;;;;;"? Precio 
Lista M-1";"? Precio 
TMP M-1";"? Precio 
CC M-1";"? Precio 
CI M-1";;Margen Red;Costo CE;Factura Neta;;;;
KEY MCV;;;;;;CON IVA;SIN IVA;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;BONO CON IVA;APORTE RED;APORTE STELLANTIS;APORTE FINANCIERA;PRECIO PROMO;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;208 MCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New 3008 GT MHEV 136 EDCT6;;New 3008 GT Hybrid 136hp AT;1PPDSYTJH7NXA0B0167;PG9589E61224S02-2;; $37.290.000 ; $31.336.134 ;; $4.800.000 ; $932.250 ; $3.867.750 ; $32.490.000 ;; $6.300.000 ; $932.250 ; $3.867.750 ; $1.500.000 ; $30.990.000 ;; $7.300.000 ; $932.250 ; $3.867.750 ; $2.500.000 ; $29.990.000 ;;ISO;ISO;ISO;ISO;;9%; $33.933.900 ; $28.515.882 ;;#N/D;#N/D;#N/D
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;New 5008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New 5008 Allure MHEV 136 EDCT6;;New 5008 Allure Hybrid 136hp AT;1PPFSZRJH7NXA0C2000;PG9682E61024S00-2;; $33.290.000 ; $27.974.790 ;; $4.300.000 ; $832.250 ; $3.467.750 ; $28.990.000 ;; $5.800.000 ; $832.250 ; $3.467.750 ; $1.500.000 ; $27.490.000 ;; $6.800.000 ; $832.250 ; $3.467.750 ; $2.500.000 ; $26.490.000 ;;ISO;-$500.000;-$500.000;-$500.000;;9%; $30.293.900 ; $25.457.059 ;;#N/D;#N/D;#N/D
New 5008 GT MHEV 136 EDCT6;;New 5008 GT Hybrid 136hp AT;1PPFSZTJH7NXA0C2167;PG9682E61024S00-2;; $39.790.000 ; $33.436.975 ;; $5.800.000 ; $994.750 ; $4.805.250 ; $33.990.000 ;; $7.300.000 ; $994.750 ; $4.805.250 ; $1.500.000 ; $32.490.000 ;; $8.300.000 ; $994.750 ; $4.805.250 ; $2.500.000 ; $31.490.000 ;;ISO;-$500.000;-$500.000;-$500.000;;9%; $36.208.900 ; $30.427.647 ;;#N/D;#N/D;#N/D
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;RIFTER MCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIFTER MCA ALLURE BLUEHDI 100;;Rifter MCA Allure Diesel 100hp MT;1PK9CLTMNKJRA070059;PG9511E60524S00-9;; $24.590.000 ; $20.663.866 ;; $1.800.000 ; $614.750 ; $1.185.250 ; $22.790.000 ;; $2.100.000 ; $614.750 ; $1.185.250 ; $300.000 ; $22.490.000 ;; $2.400.000 ; $614.750 ; $1.185.250 ; $600.000 ; $22.190.000 ;;ISO;-$500.000;-$500.000;-$500.000;;9%; $22.376.900 ; $18.804.118 ;;#N/D;#N/D;#N/D
Rifter MCA Allure Puretech 130 EAT8;;Rifter MCA Allure Gasolina 130hp AT;1PK9CLTNP1JRA070059;PG9596E60724S00-0;; $22.090.000 ; $18.563.025 ;; $1.800.000 ; $552.250 ; $1.247.750 ; $20.290.000 ;; $2.100.000 ; $552.250 ; $1.247.750 ; $300.000 ; $19.990.000 ;; $2.400.000 ; $552.250 ; $1.247.750 ; $600.000 ; $19.690.000 ;;ISO;-$500.000;-$500.000;-$500.000;;9%; $20.101.900 ; $16.892.353 ;;#N/D;#N/D;#N/D
Rifter MCA Allure BlueHDi 130 EAT8;;Rifter MCA Allure Diesel 130hp AT;1PK9CLTMK1JRA070059;PG9514E60524S00-5;; $26.390.000 ; $22.176.471 ;; $2.300.000 ; $659.750 ; $1.640.250 ; $24.090.000 ;; $2.600.000 ; $659.750 ; $1.640.250 ; $300.000 ; $23.790.000 ;; $2.900.000 ; $659.750 ; $1.640.250 ; $600.000 ; $23.490.000 ;;ISO;-$500.000;-$500.000;-$500.000;;9%; $24.014.900 ; $20.180.588 ;;#N/D;#N/D;#N/D
Rifter MCA GT Diesel 130hp AT;;Rifter MCA GT Diesel 130hp AT;1PK9CLWMK1JRA0B0371;PG9514E60725S01-8;; $29.790.000 ; $25.033.613 ;; $3.200.000 ; $744.750 ; $2.455.250 ; $26.590.000 ;; $3.500.000 ; $744.750 ; $2.455.250 ; $300.000 ; $26.290.000 ;; $3.800.000 ; $744.750 ; $2.455.250 ; $600.000 ; $25.990.000 ;;ISO;-$1.000.000;-$1.000.000;-$1.000.000;;9%; $27.108.900 ; $22.780.588 ;;#N/D;#N/D;#N/D
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
